Order_ID,Order_Date,Shipping_Date,Delivery_Date,Expected_Delivery_Date,Warehouse_Location,Customer_Location,Shipping_Mode,Order_Priority,Distance_km,Order_Quantity,Order_Value_INR,Delayed
ORD-00022,2023-07-29,2023-08-01,2023-08-02,2023-08-02,Kolkata,Visakhapatnam,Same Day,Medium,509.0,61,39820.44,0
ORD-00023,2022-07-23,2022-07-24,2022-07-25,2022-07-29,Ahmedabad,Indore,Standard,Medium,71.0,35,24778.68,0
ORD-00024,2023-10-28,2023-10-29,2023-11-03,2023-11-03,Kolkata,Agra,Standard,Low,2350.0,119,2470.38,0
ORD-00025,2023-12-20,2023-12-25,2023-12-26,2023-12-30,Chennai,Coimbatore,Standard,High,797.0,65,38269.46,0
ORD-00026,2023-07-13,2023-07-14,2023-07-16,2023-07-22,Ahmedabad,Patna,Economy,Medium,524.0,59,8844.17,0
ORD-00027,2023-03-06,2023-03-08,2023-03-11,2023-03-13,Pune,Vadodara,Standard,Medium,1132.0,36,31757.94,0
ORD-00028,2022-08-14,2022-08-18,2022-08-29,2022-08-26,Kolkata,Coimbatore,Economy,Medium,2097.0,147,4740.38,1
ORD-00029,2023-04-05,2023-04-05,2023-04-07,2023-04-08,Pune,Kochi,Express,Medium,1025.0,42,47369.94,0
ORD-00030,2023-08-27,2023-08-29,2023-09-06,2023-09-06,Chennai,Indore,Economy,Low,1856.0,69,14940.33,0
ORD-00031,2022-10-12,2022-10-17,2022-10-19,2022-10-25,Ahmedabad,Lucknow,Economy,Medium,239.0,147,11710.0,0
ORD-00032,2022-01-07,2022-01-09,2022-01-13,2022-01-12,Ahmedabad,Visakhapatnam,Express,Medium,612.0,107,6892.25,1
ORD-00033,2022-06-13,2022-06-14,2022-06-23,2022-06-19,Mumbai,Visakhapatnam,Standard,High,1949.0,39,47327.11,1
ORD-00034,2023-12-16,2023-12-19,2023-12-21,2023-12-24,Hyderabad,Lucknow,Standard,High,1317.0,69,35739.24,0
ORD-00035,2023-03-09,2023-03-14,2023-03-20,2023-03-19,Hyderabad,Bhubaneswar,Standard,Medium,1578.0,180,37212.21,1
ORD-00036,2022-12-15,2022-12-19,2022-12-20,2022-12-20,Pune,Indore,Same Day,Low,696.0,12,25220.53,0
ORD-00037,2022-10-12,2022-10-16,2022-10-23,2022-10-21,Ahmedabad,Bhopal,Standard,Medium,,83,23999.03,1
ORD-00038,2022-06-09,2022-06-11,2022-06-18,2022-06-16,Kolkata,Bhubaneswar,Standard,Low,2264.0,175,5946.05,1
ORD-00039,2022-08-09,2022-08-11,2022-08-14,2022-08-14,Pune,Bhopal,Express,Low,1347.0,36,28212.13,0
ORD-00040,2022-12-11,2022-12-15,2022-12-28,2022-12-23,Pune,Kochi,Economy,Medium,2485.0,126,12722.37,1
ORD-00041,2022-04-15,2022-04-16,2022-04-17,2022-04-21,Delhi,Surat,,Medium,650.0,63,48868.69,0
ORD-00042,2022-04-05,2022-04-05,2022-04-12,2022-04-10,Bangalore,Jaipur,Standard,Medium,2413.0,76,39930.76,1
ORD-00043,2023-01-25,2023-01-28,2023-02-03,2023-02-02,Ahmedabad,Visakhapatnam,Standard,Low,2111.0,82,20943.11,1
ORD-00044,2022-04-10,2022-04-13,2022-04-15,2022-04-21,Hyderabad,Agra,Economy,Low,291.0,51,7991.39,0
ORD-00045,2023-01-03,2023-01-05,2023-01-10,2023-01-08,Ahmedabad,Visakhapatnam,Express,Low,2091.0,43,39373.92,1
ORD-00046,2022-12-19,2022-12-22,2022-12-28,2022-12-27,Chennai,Indore,,Low,1413.0,34,6541.66,1
ORD-00047,2023-09-11,2023-09-14,2023-09-21,2023-09-19,Pune,Chandigarh,Standard,Medium,2189.0,97,9872.02,1
ORD-00048,2022-09-28,2022-10-02,2022-10-07,2022-10-07,Delhi,Nagpur,Standard,Medium,1440.0,49,10970.27,0
ORD-00049,2022-02-14,2022-02-17,2022-02-24,2022-02-22,Delhi,Jaipur,Standard,Low,1528.0,146,28066.09,1
ORD-00050,2023-04-16,2023-04-20,2023-04-26,2023-04-28,Hyderabad,Kochi,Economy,Medium,825.0,125,39459.3,0
ORD-00051,2023-07-04,2023-07-08,2023-07-09,2023-07-09,Hyderabad,Indore,Same Day,Medium,84.0,189,16058.59,0
ORD-00052,2022-05-08,2022-05-12,2022-05-16,2022-05-15,Hyderabad,Lucknow,Express,Low,2303.0,57,4691.16,1
ORD-00053,2023-01-23,2023-01-26,2023-02-05,2023-02-03,Chennai,Visakhapatnam,Economy,Low,2005.0,93,23494.65,1
ORD-00054,2022-03-22,2022-03-22,2022-03-26,2022-03-27,Delhi,Jaipur,Standard,Medium,1635.0,109,37531.46,0
ORD-00055,2023-07-20,2023-07-23,2023-07-24,2023-07-24,Kolkata,Vadodara,Same Day,High,1071.0,5,11472.36,0
ORD-00056,2022-10-28,2022-10-30,2022-11-06,2022-11-07,Chennai,Visakhapatnam,Economy,Medium,1179.0,24,11386.27,0
ORD-00057,2023-10-06,2023-10-11,2023-10-17,2023-10-16,Mumbai,Visakhapatnam,Standard,Low,1550.0,192,47387.74,1
ORD-00058,2023-09-26,2023-09-29,2023-09-30,2023-09-30,Bangalore,Visakhapatnam,Same Day,High,752.0,59,47730.61,0
ORD-00059,2023-01-06,2023-01-09,2023-01-18,2023-01-14,Bangalore,Bhopal,Standard,Medium,2499.0,38,49528.05,1
ORD-00060,2023-08-15,2023-08-20,2023-08-24,2023-08-25,Pune,Chandigarh,Standard,Medium,1629.0,161,40479.15,0
ORD-00061,2022-07-16,2022-07-17,2022-07-19,2022-07-22,Bangalore,Jaipur,Standard,High,211.0,10,9815.12,0
ORD-00062,2023-12-23,2023-12-28,2023-12-29,2023-12-31,Hyderabad,Nagpur,Express,High,251.0,165,10993.09,0
ORD-00063,2022-03-13,2022-03-15,2022-03-17,2022-03-16,Delhi,Kochi,Same Day,Medium,2031.0,126,17341.15,1
ORD-00064,2022-02-16,2022-02-20,2022-02-25,2022-02-28,Bangalore,Kochi,Economy,Medium,1045.0,11,16247.56,0
ORD-00065,2023-11-09,2023-11-12,2023-11-17,2023-11-15,Pune,Bhubaneswar,Express,Medium,2367.0,24,47848.12,1
ORD-00066,2022-08-22,2022-08-24,2022-08-28,2022-09-01,Bangalore,Visakhapatnam,Economy,Low,865.0,88,39559.16,0
ORD-00067,2022-10-24,2022-10-25,2022-10-29,2022-11-02,Ahmedabad,Coimbatore,Economy,Medium,,199,36338.44,0
ORD-00068,2022-03-23,2022-03-24,2022-03-28,2022-03-29,Chennai,Agra,Standard,Low,1325.0,114,9705.18,0
ORD-00069,2022-08-27,2022-08-31,2022-09-05,2022-09-03,Mumbai,Coimbatore,Express,,1066.0,21,45521.52,1
ORD-00070,2022-04-14,2022-04-18,2022-04-28,2022-04-23,Ahmedabad,Kochi,Standard,Critical,2393.0,148,41479.58,1
ORD-00071,2023-01-25,2023-01-30,2023-01-31,2023-02-02,Chennai,Bhubaneswar,Express,Critical,387.0,10,8600.27,0
ORD-00072,2022-10-12,2022-10-20,2022-10-25,2022-10-28,Chennai,Kochi,Economy,Medium,928.0,175,43622.93,0
ORD-00073,2023-04-10,2023-04-15,2023-04-18,2023-04-20,Kolkata,Nagpur,Standard,High,1126.0,175,13976.25,0
ORD-00074,2023-10-13,2023-10-15,2023-10-16,2023-10-16,Bangalore,Kochi,Same Day,Medium,841.0,143,4503.05,0
ORD-00075,2023-01-09,2023-01-13,2023-01-21,2023-01-16,Pune,Chandigarh,Express,High,2314.0,172,33012.7,1
ORD-00076,2022-06-16,2022-06-19,2022-06-20,2022-06-22,Kolkata,Surat,Express,Medium,813.0,190,32863.33,0
ORD-00077,2023-01-15,2023-01-20,2023-01-28,2023-01-25,Chennai,Vadodara,Standard,Low,2285.0,134,5199.13,1
ORD-00078,2022-12-30,2023-01-03,2023-01-05,2023-01-08,Bangalore,Visakhapatnam,Standard,Low,429.0,66,16283.16,0
ORD-00079,2022-08-03,2022-08-09,2022-08-10,2022-08-14,Mumbai,Lucknow,Standard,Medium,542.0,122,49644.32,0
ORD-00080,2023-11-18,2023-11-20,2023-11-23,2023-11-25,Delhi,Chandigarh,Standard,Medium,1230.0,132,34082.12,0
ORD-00081,2022-10-01,2022-10-05,2022-10-10,2022-10-10,Delhi,Coimbatore,Standard,High,2112.0,23,36638.72,0
ORD-00082,2023-12-20,2023-12-22,2023-12-23,2023-12-25,Bangalore,Kochi,Express,High,114.0,13,11039.41,0
ORD-00083,2023-12-01,2023-12-05,2023-12-06,2023-12-10,Ahmedabad,Agra,Standard,Medium,1417.0,159,4399.71,0
ORD-00084,2023-10-26,2023-11-01,2023-11-08,2023-11-09,Pune,Indore,Economy,Medium,1202.0,16,14206.63,0
ORD-00085,2022-03-15,2022-03-20,2022-03-27,2022-03-23,Hyderabad,Visakhapatnam,Express,Low,2077.0,41,12820.47,1
ORD-00086,2023-09-16,2023-09-21,2023-09-24,2023-09-24,Hyderabad,Bhopal,Express,High,1545.0,1,12109.93,0
ORD-00087,2023-10-13,2023-10-20,2023-10-21,2023-10-23,Delhi,Surat,Express,Critical,1212.0,111,10041.34,0
ORD-00088,2022-06-25,2022-06-30,2022-07-02,2022-07-03,Chennai,Vadodara,Express,Critical,1572.0,12,28950.41,0
ORD-00089,2023-07-01,2023-07-02,2023-07-04,2023-07-10,Chennai,Vadodara,Economy,High,441.0,119,16741.12,0
ORD-00090,2022-09-08,2022-09-13,2022-09-17,2022-09-18,Kolkata,Lucknow,Standard,Low,1748.0,184,41107.08,0
ORD-00091,2022-06-17,2022-06-19,2022-06-22,2022-06-24,Bangalore,Agra,Standard,Low,468.0,178,9605.4,0
ORD-00092,2023-04-19,2023-04-24,2023-04-28,2023-04-25,Pune,Bhopal,Same Day,Medium,2386.0,20,23499.04,1
ORD-00093,2023-01-24,2023-01-26,2023-01-27,2023-01-31,Bangalore,Visakhapatnam,Standard,Critical,428.0,194,1176.06,0
ORD-00094,2022-10-04,2022-10-08,2022-10-15,2022-10-13,Bangalore,Chandigarh,Standard,Low,1846.0,36,24343.27,1
ORD-00095,2023-10-18,2023-10-22,2023-11-01,2023-10-27,Kolkata,Nagpur,Standard,Low,2328.0,79,3263.99,1
ORD-00096,2023-12-06,2023-12-09,2023-12-19,2023-12-14,Hyderabad,Nagpur,Standard,High,2138.0,166,48897.31,1
ORD-00097,2023-07-25,2023-08-01,2023-08-10,2023-08-04,Bangalore,Bhopal,Express,Low,2232.0,150,39634.31,1
ORD-00098,2022-08-13,2022-08-15,2022-08-16,2022-08-20,Delhi,Indore,Standard,Medium,250.0,108,24760.52,0
ORD-00099,2023-12-03,2023-12-10,2023-12-24,2023-12-18,Ahmedabad,Bhopal,Economy,High,1913.0,189,4786.07,1
ORD-00100,2022-11-29,2022-12-02,2022-12-03,2022-12-03,Bangalore,Chandigarh,Same Day,Medium,829.0,178,29826.05,0
ORD-00101,2022-02-27,2022-03-02,2022-03-03,2022-03-05,Chennai,Bhopal,Express,Low,552.0,96,38058.81,0
ORD-00102,2022-08-23,2022-08-27,2022-08-31,2022-08-30,Bangalore,Lucknow,Express,High,1801.0,59,9940.5,1
ORD-00103,2022-02-02,2022-02-03,2022-02-06,2022-02-11,Delhi,Visakhapatnam,Economy,High,854.0,20,28626.31,0
ORD-00104,2022-11-20,2022-11-21,2022-11-29,2022-11-26,Mumbai,Indore,Standard,Critical,2196.0,164,40803.44,1
ORD-00105,2023-02-15,2023-02-19,2023-02-27,2023-02-27,Delhi,Patna,Economy,Medium,1945.0,126,38528.26,0
ORD-00106,2022-10-02,2022-10-06,2022-10-07,2022-10-07,Mumbai,Jaipur,Same Day,Low,1620.0,97,40248.1,0
ORD-00107,2022-03-09,2022-03-13,2022-03-16,2022-03-14,Kolkata,Vadodara,Same Day,High,1010.0,143,44026.51,1
ORD-00108,2022-08-05,2022-08-07,2022-08-10,2022-08-10,Kolkata,Visakhapatnam,Express,Medium,1535.0,62,46915.26,0
ORD-00109,2023-08-04,2023-08-09,2023-08-13,2023-08-14,Hyderabad,Coimbatore,Standard,Medium,1078.0,131,20573.3,0
ORD-00110,2022-11-19,2022-11-22,2022-11-24,2022-11-25,Delhi,Patna,Express,High,552.0,93,28654.07,0
ORD-00111,2022-08-06,2022-08-13,2022-08-15,2022-08-14,Delhi,Bhubaneswar,Same Day,Medium,447.0,91,39637.65,1
ORD-00112,2023-11-03,2023-11-08,2023-11-09,2023-11-13,Mumbai,Bhopal,Standard,Medium,920.0,133,35008.42,0
ORD-00113,2023-05-27,2023-06-03,2023-06-04,2023-06-04,Kolkata,Nagpur,Same Day,Low,442.0,123,49778.25,0
ORD-00114,2023-02-10,2023-02-11,2023-02-12,2023-02-16,Mumbai,Patna,Standard,Medium,256.0,184,1177.04,0
ORD-00115,2023-10-21,2023-10-26,2023-10-30,2023-10-31,Kolkata,Kochi,Standard,Medium,1088.0,159,18079.09,0
ORD-00116,2023-04-15,2023-04-16,2023-04-24,2023-04-21,Mumbai,Chandigarh,Standard,Medium,1931.0,86,14410.88,1
ORD-00117,2022-05-27,2022-05-30,2022-06-02,2022-06-04,Kolkata,Patna,Standard,High,1534.0,163,13484.63,0
ORD-00118,2022-09-29,2022-10-05,2022-10-06,2022-10-08,Mumbai,Surat,Express,Critical,913.0,118,11515.22,0
ORD-00119,2022-05-23,2022-05-28,2022-05-29,2022-06-02,Ahmedabad,Vadodara,Standard,Low,613.0,199,35601.63,0
ORD-00120,2022-09-10,2022-09-12,2022-09-17,2022-09-20,Kolkata,Indore,Economy,Low,1070.0,198,4695.59,0
ORD-00121,2023-07-29,2023-07-31,2023-08-02,2023-08-03,Pune,Vadodara,Express,Low,145.0,26,37209.64,0
ORD-00122,2023-07-06,2023-07-07,2023-07-13,2023-07-12,Mumbai,Visakhapatnam,Standard,Low,1973.0,118,34824.58,1
ORD-00123,2022-09-27,2022-10-04,2022-10-06,2022-10-07,Delhi,Chandigarh,Express,High,1807.0,1,12914.8,0
ORD-00124,2023-08-22,2023-08-23,2023-09-03,2023-08-31,Hyderabad,Nagpur,Economy,High,2328.0,7,13015.27,1
ORD-00125,2023-03-15,2023-03-18,2023-03-19,2023-03-19,Pune,Bhubaneswar,Same Day,High,1728.0,164,31628.6,0
ORD-00126,2023-08-21,2023-08-25,2023-08-26,2023-08-30,Pune,Coimbatore,Standard,Medium,590.0,76,38227.47,0
ORD-00127,2023-02-13,2023-02-14,2023-02-20,2023-02-22,Mumbai,Patna,Economy,Medium,1109.0,87,43886.04,0
ORD-00128,2023-01-06,2023-01-11,2023-01-12,2023-01-12,Hyderabad,Indore,Same Day,Medium,1233.0,153,42680.91,0
ORD-00129,2022-08-13,2022-08-15,2022-08-23,2022-08-20,Delhi,Jaipur,Standard,Low,,94,48261.71,1
ORD-00130,2022-05-22,2022-05-25,2022-05-31,2022-05-30,Pune,Indore,Standard,High,1869.0,187,29278.55,1
ORD-00131,2023-06-06,2023-06-08,2023-06-11,2023-06-11,Delhi,Agra,Express,Critical,1647.0,61,45478.45,0
ORD-00132,2023-05-21,2023-05-26,2023-05-28,2023-05-31,Kolkata,Indore,Standard,Medium,845.0,29,40521.41,0
ORD-00133,2022-04-04,2022-04-07,2022-04-14,2022-04-15,Bangalore,Vadodara,Economy,High,1101.0,95,44786.05,0
ORD-00134,2022-02-18,2022-02-24,2022-03-03,2022-03-01,Ahmedabad,Chandigarh,Standard,Medium,1693.0,18,1075.52,1
ORD-00135,2022-04-23,2022-04-27,2022-05-05,2022-05-05,Bangalore,Jaipur,Economy,Low,1413.0,41,48312.2,0
ORD-00136,2022-06-06,2022-06-11,2022-06-16,2022-06-14,Bangalore,Indore,Express,Medium,2031.0,147,23939.74,1
ORD-00137,2023-10-05,2023-10-08,2023-10-12,2023-10-13,Hyderabad,Surat,Standard,Medium,1404.0,132,40010.06,0
ORD-00138,2022-06-13,2022-06-15,2022-06-22,2022-06-20,Ahmedabad,Coimbatore,Standard,Low,1713.0,193,6796.6,1
ORD-00139,2023-11-28,2023-12-01,2023-12-04,2023-12-04,Chennai,Patna,Express,High,1579.0,41,20099.08,0
ORD-00140,2023-03-09,2023-03-14,2023-03-16,2023-03-15,Kolkata,Patna,Same Day,High,2088.0,123,13937.3,1
ORD-00141,2023-09-03,2023-09-06,2023-09-07,2023-09-07,Hyderabad,Visakhapatnam,Same Day,Medium,,143,14937.11,0
ORD-00142,2022-03-07,2022-03-09,2022-03-16,2022-03-14,Mumbai,Surat,Standard,Medium,2287.0,182,6601.15,1
ORD-00143,2023-01-30,2023-02-03,2023-02-07,2023-02-08,Ahmedabad,Patna,Standard,High,1458.0,192,40385.31,0
ORD-00144,2023-01-26,2023-01-30,2023-02-05,2023-02-04,Mumbai,Indore,Standard,High,1450.0,143,957.49,1
ORD-00145,2023-09-03,2023-09-08,2023-09-13,2023-09-11,Delhi,Bhubaneswar,Express,High,1356.0,178,15969.02,1
ORD-00146,2023-04-25,2023-04-26,2023-05-01,2023-05-01,Bangalore,Indore,Standard,Medium,1022.0,22,9133.32,0
ORD-00147,2023-06-26,2023-06-29,2023-07-01,2023-07-02,Pune,Chandigarh,Express,Critical,1818.0,146,29657.43,0
ORD-00148,2022-09-15,2022-09-19,2022-09-24,2022-09-22,Ahmedabad,Vadodara,Express,Low,1332.0,80,13085.49,1
ORD-00149,2023-07-21,2023-07-23,2023-07-26,2023-07-31,Chennai,Kochi,Economy,High,759.0,130,13320.42,0
ORD-00150,2022-01-12,2022-01-16,2022-01-22,2022-01-21,Mumbai,Vadodara,Standard,Low,1529.0,36,24672.74,1
ORD-00151,2023-11-28,2023-12-02,2023-12-06,2023-12-07,Hyderabad,Visakhapatnam,Standard,High,1484.0,20,32808.11,0
ORD-00152,2022-04-28,2022-05-01,2022-05-03,2022-05-04,Ahmedabad,Bhubaneswar,Express,Medium,698.0,144,6504.58,0
ORD-00153,2023-11-30,2023-12-04,2023-12-05,2023-12-07,Ahmedabad,Vadodara,Express,Medium,367.0,67,9187.82,0
ORD-00154,2023-07-04,2023-07-05,2023-07-07,2023-07-10,Pune,Nagpur,Standard,Medium,1307.0,120,12735.15,0
ORD-00155,2022-10-01,2022-10-04,2022-10-09,2022-10-12,Pune,Nagpur,Economy,Low,733.0,158,48700.54,0
ORD-00156,2023-10-19,2023-10-22,2023-10-28,2023-10-30,Hyderabad,Bhubaneswar,Economy,High,713.0,55,20159.05,0
ORD-00157,2022-12-15,2022-12-22,2022-12-29,2022-12-27,Pune,Indore,Standard,High,2048.0,66,30150.01,1
ORD-00158,2022-04-25,2022-04-28,2022-05-06,2022-05-03,Mumbai,Agra,Standard,Critical,1681.0,26,12456.37,1
ORD-00159,2022-10-28,2022-11-02,2022-11-05,2022-11-05,Hyderabad,Agra,Express,Low,1545.0,185,24777.75,0
ORD-00160,2023-03-22,2023-03-30,2023-04-01,2023-03-31,Bangalore,Bhopal,Same Day,High,1186.0,197,4168.9,1
ORD-00161,2022-06-11,2022-06-13,2022-06-16,2022-06-18,Hyderabad,Kochi,Standard,High,1903.0,130,2219.74,0
ORD-00162,2023-04-10,2023-04-12,2023-04-19,2023-04-15,Delhi,Surat,Express,Medium,1570.0,56,23702.31,1
ORD-00163,2022-01-04,2022-01-06,2022-01-09,2022-01-09,Chennai,Indore,Express,Low,613.0,190,20233.63,0
ORD-00164,2022-09-27,2022-10-02,2022-10-06,2022-10-07,Ahmedabad,Bhubaneswar,Standard,High,1341.0,34,7275.58,0
ORD-00165,2023-05-28,2023-06-02,2023-06-03,2023-06-05,Delhi,Bhopal,Express,Critical,1686.0,56,34536.27,0
ORD-00166,2022-07-02,2022-07-03,2022-07-07,2022-07-11,Chennai,Indore,Economy,High,748.0,55,49648.72,0
ORD-00167,2023-06-04,2023-06-07,2023-06-12,2023-06-12,Hyderabad,Bhopal,Standard,Medium,2210.0,20,20084.52,0
ORD-00168,2022-04-19,2022-04-24,2022-04-25,2022-04-29,Ahmedabad,Bhubaneswar,Standard,Medium,51.0,50,31415.65,0
ORD-00169,2023-10-03,2023-10-06,2023-10-08,2023-10-09,Pune,Indore,Express,Low,691.0,153,48167.31,0
ORD-00170,2022-11-02,2022-11-04,2022-11-14,2022-11-12,Chennai,Jaipur,Economy,High,2317.0,84,41660.98,1
ORD-00171,2023-10-17,2023-10-17,2023-10-27,2023-10-25,Hyderabad,Patna,Economy,High,1639.0,153,23445.84,1
ORD-00172,2023-06-04,2023-06-06,2023-06-09,2023-06-09,Hyderabad,Bhubaneswar,Express,Low,904.0,53,37005.73,0
ORD-00173,2023-09-16,2023-09-18,2023-09-21,2023-09-19,Delhi,Nagpur,Same Day,High,1809.0,142,6842.68,1
ORD-00174,2022-07-23,2022-07-23,2022-07-28,2022-07-26,Delhi,Nagpur,Express,Medium,2482.0,188,25849.14,1
ORD-00175,2022-06-06,2022-06-11,2022-06-12,2022-06-14,Pune,Kochi,Express,Critical,1711.0,111,14313.48,0
ORD-00176,2023-01-18,2023-01-19,2023-01-24,2023-01-24,Bangalore,Lucknow,Standard,Medium,1203.0,171,8477.6,0
ORD-00177,2022-06-15,2022-06-19,2022-06-22,2022-06-24,Kolkata,Nagpur,Standard,Low,1126.0,190,21600.9,0
ORD-00178,2023-07-07,2023-07-13,2023-07-17,2023-07-18,Mumbai,Lucknow,Standard,Medium,1757.0,112,6985.22,0
ORD-00179,2023-06-28,2023-07-01,2023-07-07,2023-07-04,Kolkata,Jaipur,Express,Medium,1745.0,69,35099.76,1
ORD-00180,2022-01-01,2022-01-03,2022-01-12,2022-01-08,Kolkata,Bhubaneswar,Standard,Low,1783.0,191,23083.88,1
ORD-00181,2023-09-06,2023-09-10,2023-09-17,2023-09-18,Ahmedabad,Agra,Economy,Medium,1489.0,2,26791.66,0
ORD-00182,2022-11-28,2022-11-30,2022-12-11,2022-12-05,Bangalore,Agra,Standard,Medium,2344.0,182,7745.61,1
ORD-00183,2023-05-16,2023-05-16,2023-05-19,2023-05-21,Ahmedabad,Bhopal,Standard,High,885.0,16,7418.7,0
ORD-00184,2022-01-20,2022-01-20,2022-01-21,2022-01-23,Pune,Visakhapatnam,Express,Low,252.0,183,29379.06,0
ORD-00185,2022-04-25,2022-04-27,2022-04-28,2022-04-28,Ahmedabad,Kochi,Same Day,Medium,172.0,94,49257.98,0
ORD-00186,2023-01-07,2023-01-10,2023-01-14,2023-01-15,Chennai,Patna,Standard,Low,450.0,171,5264.4,0
ORD-00187,2022-11-11,2022-11-13,2022-11-15,2022-11-18,Pune,Visakhapatnam,Standard,High,816.0,189,14643.71,0
ORD-00188,2022-09-03,2022-09-06,2022-09-09,2022-09-14,Pune,Surat,Economy,Low,343.0,166,43538.23,0
ORD-00189,2022-03-01,2022-03-02,2022-03-09,2022-03-07,Hyderabad,Lucknow,Standard,Critical,2377.0,45,4077.46,1
ORD-00190,2022-09-04,2022-09-09,2022-09-10,2022-09-14,Hyderabad,Patna,Standard,High,,126,43856.34,0
ORD-00191,2023-08-04,2023-08-06,2023-08-17,2023-08-14,Hyderabad,Vadodara,Economy,Medium,1980.0,179,26452.16,1
ORD-00192,2022-03-22,2022-03-24,2022-03-31,2022-03-29,Mumbai,Kochi,Standard,Medium,2241.0,170,20709.21,1
ORD-00193,2022-03-29,2022-03-31,2022-04-01,2022-04-03,Chennai,Kochi,Express,Low,658.0,24,15829.19,0
ORD-00194,2023-05-13,2023-05-21,2023-05-27,2023-05-26,Chennai,Nagpur,Standard,Medium,1197.0,115,15207.3,1
ORD-00195,2022-03-12,2022-03-13,2022-03-16,2022-03-18,Hyderabad,Patna,Standard,,236.0,158,15637.23,0
ORD-00196,2023-06-30,2023-07-07,2023-07-14,2023-07-12,Kolkata,Vadodara,Standard,Critical,1844.0,165,44297.75,1
ORD-00197,2022-05-09,2022-05-12,2022-05-13,2022-05-17,Mumbai,Indore,Standard,Low,709.0,123,36327.86,0
ORD-00198,2022-05-12,2022-05-14,2022-05-20,2022-05-19,Kolkata,Chandigarh,Standard,Medium,2005.0,181,33651.29,1
ORD-00199,2023-11-07,2023-11-11,2023-11-16,2023-11-16,Delhi,Kochi,Standard,High,1419.0,191,40038.08,0
ORD-00200,2023-05-02,2023-05-04,2023-05-07,2023-05-05,Chennai,Lucknow,,High,2036.0,139,13227.18,1
ORD-00201,2023-07-17,2023-07-22,2023-07-26,2023-07-27,Chennai,Visakhapatnam,Standard,Low,1584.0,78,31093.12,0
ORD-00202,2022-06-19,2022-06-20,2022-06-21,2022-06-23,Kolkata,Agra,Express,Medium,196.0,151,23273.28,0
ORD-00203,2022-09-29,2022-10-07,2022-10-16,2022-10-15,Mumbai,Surat,Economy,Medium,1784.0,117,39230.86,1
ORD-00204,2023-06-25,2023-06-27,2023-06-28,2023-06-30,Chennai,Surat,Express,High,1893.0,80,15808.18,0
