Order_ID,Order_Date,Shipping_Date,Delivery_Date,Expected_Delivery_Date,Warehouse_Location,Customer_Location,Shipping_Mode,Order_Priority,Distance_km,Distance_Category,Order_Quantity,Order_Value_INR,Actual_Delivery_Days,Expected_Delivery_Days,Delay_Days,Is_Peak_Season,Is_Weekend,Order_Month,Delayed,Delay_Status
ORD-00032,2022-01-07,2022-01-09,2022-01-13,2022-01-12,Ahmedabad,Visakhapatnam,Express,Medium,612.0,Medium,107,6892.25,6,5,1,0,0,1,1,Delayed
ORD-00033,2022-06-13,2022-06-14,2022-06-23,2022-06-19,Mumbai,Visakhapatnam,Standard,High,1949.0,Very Long,39,47327.11,10,6,4,0,0,6,1,Delayed
ORD-00034,2023-12-16,2023-12-19,2023-12-21,2023-12-24,Hyderabad,Lucknow,Standard,High,1317.0,Long,69,35739.24,5,8,-3,1,1,12,0,On Time
ORD-00035,2023-03-09,2023-03-14,2023-03-20,2023-03-19,Hyderabad,Bhubaneswar,Standard,Medium,1578.0,Very Long,180,37212.21,11,10,1,0,0,3,1,Delayed
ORD-00036,2022-12-15,2022-12-19,2022-12-20,2022-12-20,Pune,Indore,Same Day,Low,696.0,Medium,12,25220.53,5,5,0,1,0,12,0,On Time
ORD-00037,2022-10-12,2022-10-16,2022-10-23,2022-10-21,Ahmedabad,Bhopal,Standard,Medium,,,83,23999.03,11,9,2,1,0,10,1,Delayed
ORD-00038,2022-06-09,2022-06-11,2022-06-18,2022-06-16,Kolkata,Bhubaneswar,Standard,Low,2264.0,Very Long,175,5946.05,9,7,2,0,0,6,1,Delayed
ORD-00039,2022-08-09,2022-08-11,2022-08-14,2022-08-14,Pune,Bhopal,Express,Low,1347.0,Long,36,28212.13,5,5,0,0,0,8,0,On Time
ORD-00040,2022-12-11,2022-12-15,2022-12-28,2022-12-23,Pune,Kochi,Economy,Medium,2485.0,Very Long,126,12722.37,17,12,5,1,1,12,1,Delayed
ORD-00041,2022-04-15,2022-04-16,2022-04-17,2022-04-21,Delhi,Surat,,Medium,650.0,Medium,63,48868.69,2,6,-4,0,0,4,0,On Time
ORD-00042,2022-04-05,2022-04-05,2022-04-12,2022-04-10,Bangalore,Jaipur,Standard,Medium,2413.0,Very Long,76,39930.76,7,5,2,0,0,4,1,Delayed
ORD-00043,2023-01-25,2023-01-28,2023-02-03,2023-02-02,Ahmedabad,Visakhapatnam,Standard,Low,2111.0,Very Long,82,20943.11,9,8,1,0,0,1,1,Delayed
ORD-00044,2022-04-10,2022-04-13,2022-04-15,2022-04-21,Hyderabad,Agra,Economy,Low,291.0,Short,51,7991.39,5,11,-6,0,1,4,0,On Time
ORD-00045,2023-01-03,2023-01-05,2023-01-10,2023-01-08,Ahmedabad,Visakhapatnam,Express,Low,2091.0,Very Long,43,39373.92,7,5,2,0,0,1,1,Delayed
ORD-00046,2022-12-19,2022-12-22,2022-12-28,2022-12-27,Chennai,Indore,,Low,1413.0,Long,34,6541.66,9,8,1,1,0,12,1,Delayed
ORD-00047,2023-09-11,2023-09-14,2023-09-21,2023-09-19,Pune,Chandigarh,Standard,Medium,2189.0,Very Long,97,9872.02,10,8,2,0,0,9,1,Delayed
ORD-00048,2022-09-28,2022-10-02,2022-10-07,2022-10-07,Delhi,Nagpur,Standard,Medium,1440.0,Long,49,10970.27,9,9,0,0,0,9,0,On Time
ORD-00049,2022-02-14,2022-02-17,2022-02-24,2022-02-22,Delhi,Jaipur,Standard,Low,1528.0,Very Long,146,28066.09,10,8,2,0,0,2,1,Delayed
ORD-00050,2023-04-16,2023-04-20,2023-04-26,2023-04-28,Hyderabad,Kochi,Economy,Medium,825.0,Long,125,39459.3,10,12,-2,0,1,4,0,On Time
ORD-00051,2023-07-04,2023-07-08,2023-07-09,2023-07-09,Hyderabad,Indore,Same Day,Medium,84.0,Short,189,16058.59,5,5,0,0,0,7,0,On Time
ORD-00052,2022-05-08,2022-05-12,2022-05-16,2022-05-15,Hyderabad,Lucknow,Express,Low,2303.0,Very Long,57,4691.16,8,7,1,0,1,5,1,Delayed
ORD-00053,2023-01-23,2023-01-26,2023-02-05,2023-02-03,Chennai,Visakhapatnam,Economy,Low,2005.0,Very Long,93,23494.65,13,11,2,0,0,1,1,Delayed
ORD-00054,2022-03-22,2022-03-22,2022-03-26,2022-03-27,Delhi,Jaipur,Standard,Medium,1635.0,Very Long,109,37531.46,4,5,-1,0,0,3,0,On Time
ORD-00055,2023-07-20,2023-07-23,2023-07-24,2023-07-24,Kolkata,Vadodara,Same Day,High,1071.0,Long,5,11472.36,4,4,0,0,0,7,0,On Time
ORD-00056,2022-10-28,2022-10-30,2022-11-06,2022-11-07,Chennai,Visakhapatnam,Economy,Medium,1179.0,Long,24,11386.27,9,10,-1,1,0,10,0,On Time
ORD-00057,2023-10-06,2023-10-11,2023-10-17,2023-10-16,Mumbai,Visakhapatnam,Standard,Low,1550.0,Very Long,192,47387.74,11,10,1,1,0,10,1,Delayed
ORD-00058,2023-09-26,2023-09-29,2023-09-30,2023-09-30,Bangalore,Visakhapatnam,Same Day,High,752.0,Medium,59,47730.61,4,4,0,0,0,9,0,On Time
ORD-00059,2023-01-06,2023-01-09,2023-01-18,2023-01-14,Bangalore,Bhopal,Standard,Medium,2499.0,Very Long,38,49528.05,12,8,4,0,0,1,1,Delayed
ORD-00060,2023-08-15,2023-08-20,2023-08-24,2023-08-25,Pune,Chandigarh,Standard,Medium,1629.0,Very Long,161,40479.15,9,10,-1,0,0,8,0,On Time
ORD-00061,2022-07-16,2022-07-17,2022-07-19,2022-07-22,Bangalore,Jaipur,Standard,High,211.0,Short,10,9815.12,3,6,-3,0,1,7,0,On Time
ORD-00062,2023-12-23,2023-12-28,2023-12-29,2023-12-31,Hyderabad,Nagpur,Express,High,251.0,Short,165,10993.09,6,8,-2,1,1,12,0,On Time
ORD-00063,2022-03-13,2022-03-15,2022-03-17,2022-03-16,Delhi,Kochi,Same Day,Medium,2031.0,Very Long,126,17341.15,4,3,1,0,1,3,1,Delayed
ORD-00064,2022-02-16,2022-02-20,2022-02-25,2022-02-28,Bangalore,Kochi,Economy,Medium,1045.0,Long,11,16247.56,9,12,-3,0,0,2,0,On Time
ORD-00065,2023-11-09,2023-11-12,2023-11-17,2023-11-15,Pune,Bhubaneswar,Express,Medium,2367.0,Very Long,24,47848.12,8,6,2,1,0,11,1,Delayed
ORD-00066,2022-08-22,2022-08-24,2022-08-28,2022-09-01,Bangalore,Visakhapatnam,Economy,Low,865.0,Long,88,39559.16,6,10,-4,0,0,8,0,On Time
ORD-00067,2022-10-24,2022-10-25,2022-10-29,2022-11-02,Ahmedabad,Coimbatore,Economy,Medium,,,199,36338.44,5,9,-4,1,0,10,0,On Time
ORD-00068,2022-03-23,2022-03-24,2022-03-28,2022-03-29,Chennai,Agra,Standard,Low,1325.0,Long,114,9705.18,5,6,-1,0,0,3,0,On Time
ORD-00069,2022-08-27,2022-08-31,2022-09-05,2022-09-03,Mumbai,Coimbatore,Express,,1066.0,Long,21,45521.52,9,7,2,0,1,8,1,Delayed
ORD-00070,2022-04-14,2022-04-18,2022-04-28,2022-04-23,Ahmedabad,Kochi,Standard,Critical,2393.0,Very Long,148,41479.58,14,9,5,0,0,4,1,Delayed
ORD-00071,2023-01-25,2023-01-30,2023-01-31,2023-02-02,Chennai,Bhubaneswar,Express,Critical,387.0,Medium,10,8600.27,6,8,-2,0,0,1,0,On Time
ORD-00072,2022-10-12,2022-10-20,2022-10-25,2022-10-28,Chennai,Kochi,Economy,Medium,928.0,Long,175,43622.93,13,16,-3,1,0,10,0,On Time
ORD-00073,2023-04-10,2023-04-15,2023-04-18,2023-04-20,Kolkata,Nagpur,Standard,High,1126.0,Long,175,13976.25,8,10,-2,0,0,4,0,On Time
ORD-00074,2023-10-13,2023-10-15,2023-10-16,2023-10-16,Bangalore,Kochi,Same Day,Medium,841.0,Long,143,4503.05,3,3,0,1,0,10,0,On Time
ORD-00075,2023-01-09,2023-01-13,2023-01-21,2023-01-16,Pune,Chandigarh,Express,High,2314.0,Very Long,172,33012.7,12,7,5,0,0,1,1,Delayed
ORD-00076,2022-06-16,2022-06-19,2022-06-20,2022-06-22,Kolkata,Surat,Express,Medium,813.0,Long,190,32863.33,4,6,-2,0,0,6,0,On Time
ORD-00077,2023-01-15,2023-01-20,2023-01-28,2023-01-25,Chennai,Vadodara,Standard,Low,2285.0,Very Long,134,5199.13,13,10,3,0,1,1,1,Delayed
ORD-00078,2022-12-30,2023-01-03,2023-01-05,2023-01-08,Bangalore,Visakhapatnam,Standard,Low,429.0,Medium,66,16283.16,6,9,-3,1,0,12,0,On Time
ORD-00079,2022-08-03,2022-08-09,2022-08-10,2022-08-14,Mumbai,Lucknow,Standard,Medium,542.0,Medium,122,49644.32,7,11,-4,0,0,8,0,On Time
ORD-00080,2023-11-18,2023-11-20,2023-11-23,2023-11-25,Delhi,Chandigarh,Standard,Medium,1230.0,Long,132,34082.12,5,7,-2,1,1,11,0,On Time
ORD-00081,2022-10-01,2022-10-05,2022-10-10,2022-10-10,Delhi,Coimbatore,Standard,High,2112.0,Very Long,23,36638.72,9,9,0,1,1,10,0,On Time
ORD-00082,2023-12-20,2023-12-22,2023-12-23,2023-12-25,Bangalore,Kochi,Express,High,114.0,Short,13,11039.41,3,5,-2,1,0,12,0,On Time
ORD-00083,2023-12-01,2023-12-05,2023-12-06,2023-12-10,Ahmedabad,Agra,Standard,Medium,1417.0,Long,159,4399.71,5,9,-4,1,0,12,0,On Time
ORD-00084,2023-10-26,2023-11-01,2023-11-08,2023-11-09,Pune,Indore,Economy,Medium,1202.0,Long,16,14206.63,13,14,-1,1,0,10,0,On Time
ORD-00085,2022-03-15,2022-03-20,2022-03-27,2022-03-23,Hyderabad,Visakhapatnam,Express,Low,2077.0,Very Long,41,12820.47,12,8,4,0,0,3,1,Delayed
ORD-00086,2023-09-16,2023-09-21,2023-09-24,2023-09-24,Hyderabad,Bhopal,Express,High,1545.0,Very Long,1,12109.93,8,8,0,0,1,9,0,On Time
ORD-00087,2023-10-13,2023-10-20,2023-10-21,2023-10-23,Delhi,Surat,Express,Critical,1212.0,Long,111,10041.34,8,10,-2,1,0,10,0,On Time
ORD-00088,2022-06-25,2022-06-30,2022-07-02,2022-07-03,Chennai,Vadodara,Express,Critical,1572.0,Very Long,12,28950.41,7,8,-1,0,1,6,0,On Time
ORD-00089,2023-07-01,2023-07-02,2023-07-04,2023-07-10,Chennai,Vadodara,Economy,High,441.0,Medium,119,16741.12,3,9,-6,0,1,7,0,On Time
ORD-00090,2022-09-08,2022-09-13,2022-09-17,2022-09-18,Kolkata,Lucknow,Standard,Low,1748.0,Very Long,184,41107.08,9,10,-1,0,0,9,0,On Time
ORD-00091,2022-06-17,2022-06-19,2022-06-22,2022-06-24,Bangalore,Agra,Standard,Low,468.0,Medium,178,9605.4,5,7,-2,0,0,6,0,On Time
ORD-00092,2023-04-19,2023-04-24,2023-04-28,2023-04-25,Pune,Bhopal,Same Day,Medium,2386.0,Very Long,20,23499.04,9,6,3,0,0,4,1,Delayed
ORD-00093,2023-01-24,2023-01-26,2023-01-27,2023-01-31,Bangalore,Visakhapatnam,Standard,Critical,428.0,Medium,194,1176.06,3,7,-4,0,0,1,0,On Time
ORD-00094,2022-10-04,2022-10-08,2022-10-15,2022-10-13,Bangalore,Chandigarh,Standard,Low,1846.0,Very Long,36,24343.27,11,9,2,1,0,10,1,Delayed
ORD-00095,2023-10-18,2023-10-22,2023-11-01,2023-10-27,Kolkata,Nagpur,Standard,Low,2328.0,Very Long,79,3263.99,14,9,5,1,0,10,1,Delayed
ORD-00096,2023-12-06,2023-12-09,2023-12-19,2023-12-14,Hyderabad,Nagpur,Standard,High,2138.0,Very Long,166,48897.31,13,8,5,1,0,12,1,Delayed
ORD-00097,2023-07-25,2023-08-01,2023-08-10,2023-08-04,Bangalore,Bhopal,Express,Low,2232.0,Very Long,150,39634.31,16,10,6,0,0,7,1,Delayed
ORD-00098,2022-08-13,2022-08-15,2022-08-16,2022-08-20,Delhi,Indore,Standard,Medium,250.0,Short,108,24760.52,3,7,-4,0,1,8,0,On Time
ORD-00099,2023-12-03,2023-12-10,2023-12-24,2023-12-18,Ahmedabad,Bhopal,Economy,High,1913.0,Very Long,189,4786.07,21,15,6,1,1,12,1,Delayed
ORD-00100,2022-11-29,2022-12-02,2022-12-03,2022-12-03,Bangalore,Chandigarh,Same Day,Medium,829.0,Long,178,29826.05,4,4,0,1,0,11,0,On Time
ORD-00101,2022-02-27,2022-03-02,2022-03-03,2022-03-05,Chennai,Bhopal,Express,Low,552.0,Medium,96,38058.81,4,6,-2,0,1,2,0,On Time
ORD-00102,2022-08-23,2022-08-27,2022-08-31,2022-08-30,Bangalore,Lucknow,Express,High,1801.0,Very Long,59,9940.5,8,7,1,0,0,8,1,Delayed
ORD-00103,2022-02-02,2022-02-03,2022-02-06,2022-02-11,Delhi,Visakhapatnam,Economy,High,854.0,Long,20,28626.31,4,9,-5,0,0,2,0,On Time
ORD-00104,2022-11-20,2022-11-21,2022-11-29,2022-11-26,Mumbai,Indore,Standard,Critical,2196.0,Very Long,164,40803.44,9,6,3,1,1,11,1,Delayed
ORD-00105,2023-02-15,2023-02-19,2023-02-27,2023-02-27,Delhi,Patna,Economy,Medium,1945.0,Very Long,126,38528.26,12,12,0,0,0,2,0,On Time
ORD-00106,2022-10-02,2022-10-06,2022-10-07,2022-10-07,Mumbai,Jaipur,Same Day,Low,1620.0,Very Long,97,40248.1,5,5,0,1,1,10,0,On Time
ORD-00107,2022-03-09,2022-03-13,2022-03-16,2022-03-14,Kolkata,Vadodara,Same Day,High,1010.0,Long,143,44026.51,7,5,2,0,0,3,1,Delayed
ORD-00108,2022-08-05,2022-08-07,2022-08-10,2022-08-10,Kolkata,Visakhapatnam,Express,Medium,1535.0,Very Long,62,46915.26,5,5,0,0,0,8,0,On Time
ORD-00109,2023-08-04,2023-08-09,2023-08-13,2023-08-14,Hyderabad,Coimbatore,Standard,Medium,1078.0,Long,131,20573.3,9,10,-1,0,0,8,0,On Time
ORD-00110,2022-11-19,2022-11-22,2022-11-24,2022-11-25,Delhi,Patna,Express,High,552.0,Medium,93,28654.07,5,6,-1,1,1,11,0,On Time
ORD-00111,2022-08-06,2022-08-13,2022-08-15,2022-08-14,Delhi,Bhubaneswar,Same Day,Medium,447.0,Medium,91,39637.65,9,8,1,0,1,8,1,Delayed
ORD-00112,2023-11-03,2023-11-08,2023-11-09,2023-11-13,Mumbai,Bhopal,Standard,Medium,920.0,Long,133,35008.42,6,10,-4,1,0,11,0,On Time
ORD-00113,2023-05-27,2023-06-03,2023-06-04,2023-06-04,Kolkata,Nagpur,Same Day,Low,442.0,Medium,123,49778.25,8,8,0,0,1,5,0,On Time
ORD-00114,2023-02-10,2023-02-11,2023-02-12,2023-02-16,Mumbai,Patna,Standard,Medium,256.0,Short,184,1177.04,2,6,-4,0,0,2,0,On Time
ORD-00115,2023-10-21,2023-10-26,2023-10-30,2023-10-31,Kolkata,Kochi,Standard,Medium,1088.0,Long,159,18079.09,9,10,-1,1,1,10,0,On Time
ORD-00116,2023-04-15,2023-04-16,2023-04-24,2023-04-21,Mumbai,Chandigarh,Standard,Medium,1931.0,Very Long,86,14410.88,9,6,3,0,1,4,1,Delayed
ORD-00117,2022-05-27,2022-05-30,2022-06-02,2022-06-04,Kolkata,Patna,Standard,High,1534.0,Very Long,163,13484.63,6,8,-2,0,0,5,0,On Time
ORD-00118,2022-09-29,2022-10-05,2022-10-06,2022-10-08,Mumbai,Surat,Express,Critical,913.0,Long,118,11515.22,7,9,-2,0,0,9,0,On Time
ORD-00119,2022-05-23,2022-05-28,2022-05-29,2022-06-02,Ahmedabad,Vadodara,Standard,Low,613.0,Medium,199,35601.63,6,10,-4,0,0,5,0,On Time
ORD-00120,2022-09-10,2022-09-12,2022-09-17,2022-09-20,Kolkata,Indore,Economy,Low,1070.0,Long,198,4695.59,7,10,-3,0,1,9,0,On Time
ORD-00121,2023-07-29,2023-07-31,2023-08-02,2023-08-03,Pune,Vadodara,Express,Low,145.0,Short,26,37209.64,4,5,-1,0,1,7,0,On Time
ORD-00122,2023-07-06,2023-07-07,2023-07-13,2023-07-12,Mumbai,Visakhapatnam,Standard,Low,1973.0,Very Long,118,34824.58,7,6,1,0,0,7,1,Delayed
ORD-00123,2022-09-27,2022-10-04,2022-10-06,2022-10-07,Delhi,Chandigarh,Express,High,1807.0,Very Long,1,12914.8,9,10,-1,0,0,9,0,On Time
ORD-00124,2023-08-22,2023-08-23,2023-09-03,2023-08-31,Hyderabad,Nagpur,Economy,High,2328.0,Very Long,7,13015.27,12,9,3,0,0,8,1,Delayed
ORD-00125,2023-03-15,2023-03-18,2023-03-19,2023-03-19,Pune,Bhubaneswar,Same Day,High,1728.0,Very Long,164,31628.6,4,4,0,0,0,3,0,On Time
ORD-00126,2023-08-21,2023-08-25,2023-08-26,2023-08-30,Pune,Coimbatore,Standard,Medium,590.0,Medium,76,38227.47,5,9,-4,0,0,8,0,On Time
ORD-00127,2023-02-13,2023-02-14,2023-02-20,2023-02-22,Mumbai,Patna,Economy,Medium,1109.0,Long,87,43886.04,7,9,-2,0,0,2,0,On Time
ORD-00128,2023-01-06,2023-01-11,2023-01-12,2023-01-12,Hyderabad,Indore,Same Day,Medium,1233.0,Long,153,42680.91,6,6,0,0,0,1,0,On Time
ORD-00129,2022-08-13,2022-08-15,2022-08-23,2022-08-20,Delhi,Jaipur,Standard,Low,,,94,48261.71,10,7,3,0,1,8,1,Delayed
ORD-00130,2022-05-22,2022-05-25,2022-05-31,2022-05-30,Pune,Indore,Standard,High,1869.0,Very Long,187,29278.55,9,8,1,0,1,5,1,Delayed
ORD-00131,2023-06-06,2023-06-08,2023-06-11,2023-06-11,Delhi,Agra,Express,Critical,1647.0,Very Long,61,45478.45,5,5,0,0,0,6,0,On Time
ORD-00132,2023-05-21,2023-05-26,2023-05-28,2023-05-31,Kolkata,Indore,Standard,Medium,845.0,Long,29,40521.41,7,10,-3,0,1,5,0,On Time
ORD-00133,2022-04-04,2022-04-07,2022-04-14,2022-04-15,Bangalore,Vadodara,Economy,High,1101.0,Long,95,44786.05,10,11,-1,0,0,4,0,On Time
ORD-00134,2022-02-18,2022-02-24,2022-03-03,2022-03-01,Ahmedabad,Chandigarh,Standard,Medium,1693.0,Very Long,18,1075.52,13,11,2,0,0,2,1,Delayed
ORD-00135,2022-04-23,2022-04-27,2022-05-05,2022-05-05,Bangalore,Jaipur,Economy,Low,1413.0,Long,41,48312.2,12,12,0,0,1,4,0,On Time
ORD-00136,2022-06-06,2022-06-11,2022-06-16,2022-06-14,Bangalore,Indore,Express,Medium,2031.0,Very Long,147,23939.74,10,8,2,0,0,6,1,Delayed
ORD-00137,2023-10-05,2023-10-08,2023-10-12,2023-10-13,Hyderabad,Surat,Standard,Medium,1404.0,Long,132,40010.06,7,8,-1,1,0,10,0,On Time
ORD-00138,2022-06-13,2022-06-15,2022-06-22,2022-06-20,Ahmedabad,Coimbatore,Standard,Low,1713.0,Very Long,193,6796.6,9,7,2,0,0,6,1,Delayed
ORD-00139,2023-11-28,2023-12-01,2023-12-04,2023-12-04,Chennai,Patna,Express,High,1579.0,Very Long,41,20099.08,6,6,0,1,0,11,0,On Time
ORD-00140,2023-03-09,2023-03-14,2023-03-16,2023-03-15,Kolkata,Patna,Same Day,High,2088.0,Very Long,123,13937.3,7,6,1,0,0,3,1,Delayed
ORD-00141,2023-09-03,2023-09-06,2023-09-07,2023-09-07,Hyderabad,Visakhapatnam,Same Day,Medium,,,143,14937.11,4,4,0,0,1,9,0,On Time
ORD-00142,2022-03-07,2022-03-09,2022-03-16,2022-03-14,Mumbai,Surat,Standard,Medium,2287.0,Very Long,182,6601.15,9,7,2,0,0,3,1,Delayed
ORD-00143,2023-01-30,2023-02-03,2023-02-07,2023-02-08,Ahmedabad,Patna,Standard,High,1458.0,Long,192,40385.31,8,9,-1,0,0,1,0,On Time
ORD-00144,2023-01-26,2023-01-30,2023-02-05,2023-02-04,Mumbai,Indore,Standard,High,1450.0,Long,143,957.49,10,9,1,0,0,1,1,Delayed
ORD-00145,2023-09-03,2023-09-08,2023-09-13,2023-09-11,Delhi,Bhubaneswar,Express,High,1356.0,Long,178,15969.02,10,8,2,0,1,9,1,Delayed
ORD-00146,2023-04-25,2023-04-26,2023-05-01,2023-05-01,Bangalore,Indore,Standard,Medium,1022.0,Long,22,9133.32,6,6,0,0,0,4,0,On Time
ORD-00147,2023-06-26,2023-06-29,2023-07-01,2023-07-02,Pune,Chandigarh,Express,Critical,1818.0,Very Long,146,29657.43,5,6,-1,0,0,6,0,On Time
ORD-00148,2022-09-15,2022-09-19,2022-09-24,2022-09-22,Ahmedabad,Vadodara,Express,Low,1332.0,Long,80,13085.49,9,7,2,0,0,9,1,Delayed
ORD-00149,2023-07-21,2023-07-23,2023-07-26,2023-07-31,Chennai,Kochi,Economy,High,759.0,Medium,130,13320.42,5,10,-5,0,0,7,0,On Time
ORD-00150,2022-01-12,2022-01-16,2022-01-22,2022-01-21,Mumbai,Vadodara,Standard,Low,1529.0,Very Long,36,24672.74,10,9,1,0,0,1,1,Delayed
ORD-00151,2023-11-28,2023-12-02,2023-12-06,2023-12-07,Hyderabad,Visakhapatnam,Standard,High,1484.0,Long,20,32808.11,8,9,-1,1,0,11,0,On Time
ORD-00152,2022-04-28,2022-05-01,2022-05-03,2022-05-04,Ahmedabad,Bhubaneswar,Express,Medium,698.0,Medium,144,6504.58,5,6,-1,0,0,4,0,On Time
ORD-00153,2023-11-30,2023-12-04,2023-12-05,2023-12-07,Ahmedabad,Vadodara,Express,Medium,367.0,Medium,67,9187.82,5,7,-2,1,0,11,0,On Time
ORD-00154,2023-07-04,2023-07-05,2023-07-07,2023-07-10,Pune,Nagpur,Standard,Medium,1307.0,Long,120,12735.15,3,6,-3,0,0,7,0,On Time
